workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,rpe,volume_kg,estimated_1rm,notes
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Reverse Fly (Machine),3,52.5,15,,787.5,78.75,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Shrug (Dumbbell),1,24.0,20,,480.0,40.0,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Shrug (Dumbbell),2,24.0,19,,456.0,39.2,
410,2022-07-16 10:37:53,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Saturday,Shrug (Dumbbell),3,24.0,14,,336.0,35.2,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Bench Press (Barbell),1,20.0,20,,400.0,33.33333333333333,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Bench Press (Barbell),2,40.0,11,,440.0,54.66666666666667,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Bench Press (Barbell),3,60.0,11,,660.0,82.0,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Bench Press (Barbell),4,85.0,9,,765.0,110.5,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Bench Press (Barbell),5,85.0,7,,595.0,104.83333333333334,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Bench Press (Barbell),6,85.0,6,,510.0,102.0,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Cable Crossover,1,16.25,13,,211.25,23.291666666666668,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Cable Crossover,2,16.25,11,,178.75,22.208333333333332,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Cable Crossover,3,8.75,15,,131.25,13.125,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Cable Crossover,4,8.75,16,,140.0,13.416666666666666,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Chest Dip,1,0.0,12,,0.0,0.0,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Chest Dip,2,15.0,12,,180.0,21.0,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Chest Dip,3,15.0,16,,240.0,23.0,
411,2022-07-18 11:25:46,Push 1,2022,2022-07,2022-07-18/2022-07-24,Monday,Chest Dip,4,20.0,13,,260.0,28.666666666666668,
